Title,Description,Course_Link,Course_Rating,Rating_Number,Course_Completed_By,Instructor,Instructor_Link,Instructor_Rating,Rating_Out_Of,Learners_Age_Range,Learners_Per_Class,Course_Price
Multiplication Boot Camp! Quickly Solve & Memorize Times Tables 0-12... & Beyond! (3-Day),"In this super-fun, interactive 3-day class, I aim to change your student's attitude about math forever! Students will learn amazing tricks to quickly solve and memorize multiplication fact families 0-12 & beyond... and have FUN doing it!",https://outschool.com/classes/multiplication-boot-camp-quickly-solve-memorize-times-tables-0-12-beyond-3-day-vBqbYW0J,4.9,632,4079,Multiplication Boot Camp with Ms. Tracy,https://outschool.com/teachers/MsTracy,4.9,990,7-12,6-15,$109
Olympiad Math for Grade 3 - Grade 4 Students (on-Going),Online Olympiad Math: students can learn problem-solving skills by using the basic of mathematics,https://outschool.com/classes/olympiad-math-for-grade-3-grade-4-students-on-going-1X8DqS8T,4.8,97,639,Paul Yiu,https://outschool.com/teachers/Paul-Yiu,4.8,318,7-10,4-13,$15
4th and 5th Grade Math Story Word Problems: Single-Step and Multi-Step Problems,This class meets once a week to work through 4th and 5th grade single-step and multi-step math story problems together. #academic,https://outschool.com/classes/4th-and-5th-grade-math-story-word-problems-single-step-and-multi-step-problems-xwjf0XGB,4.9,54,820,"Tara Gaines, M.Ed",https://outschool.com/teachers/Tara-Weyen-Gaines,4.9,185,8-11,2-10,$10
"1:1 Math Tutoring for Grades 4-12: Algebra, Geometry, Precalculus, Calculus, etc.","A one-on-one math tutoring class that can be used for any area of math, including but not limited to Algebra, Geometry, Precalculus and Calculus. The structure will be tailored to the student’s needs and can include homework help, concept review or full curriculum instruction.",https://outschool.com/classes/11-math-tutoring-for-grades-4-12-algebra-geometry-precalculus-calculus-etc-zYmr4Sb4,4.8,122,633,Mind over Math - Tutoring and Group Classes,https://outschool.com/teachers/Mind-Over-Math,4.9,286,9-18,1,$35
2nd Grade Math Full Curriculum | Let's Have Fun With It!,"This is an ongoing class covering different 2nd grade math topics each week in a fun and engaging way, finishing each class with a game! #academic",https://outschool.com/classes/2nd-grade-math-full-curriculum-mBYzGYFJ,4.9,10,118,Mind over Math - Tutoring and Group Classes,https://outschool.com/teachers/Mind-Over-Math,4.9,286,6-9,1-8,$24
"Homeschool 3rd Grade Full Curriculum: Montessori, STEM, and Project-Based (PBL)","In this STEM and Project Based ongoing course, students will learn Math skills, Language Arts, Reading Comprehension and make friends. 3rd Grade creatively designed curriculum by Kind Academy©️",https://outschool.com/classes/homeschool-3rd-grade-full-curriculum-montessori-stem-and-project-based-pbl-3i8INryN,4.9,14,117,Kind Academy-Online MicroSchool for Future Leaders,https://outschool.com/teachers/kindacademy,4.9,651,7-10,5-10,$60
3rd Grade Math Full Curriculum | Let's Have Fun With It!,"This is an ongoing class covering different 3rd grade math topics each week in a fun and engaging way, finishing each class with a game of Blooket! #academic",https://outschool.com/classes/3rd-grade-math-full-curriculum-4RLBIn1L,5,5,47,Mind over Math - Tutoring and Group Classes,https://outschool.com/teachers/Mind-Over-Math,4.9,286,7-10,1-8,$24
Math Minds: Unlocking the Potential of Neurodivergent Learners (25 Minutes),"Individualized math learning for students who have ADHD, autism, and/or other executive functioning disorders #confidence",https://outschool.com/classes/math-minds-unlocking-the-potential-of-neurodivergent-learners-25-minutes-D8CS3tLP,5,9,127,Math Planets,https://outschool.com/teachers/MathPlanets,4.8,128,4-18,1,$24
"Kindergarten Math: Counting, Addition, Subtraction, Shapes, Comparing, and More!","In this ongoing kindergarten math class, students will learn concepts from the kindergarten common core curriculum! Taught by a Certified Teacher SNEA, BEd, MEd. #academic",https://outschool.com/classes/kindergarten-math-counting-addition-subtraction-shapes-comparing-and-more-d2VwJL1u,4.8,5,33,"Alissa Oakes (Certified: SNEA, BEd, MEd 2022)",https://outschool.com/teachers/Alissa-Ninomiya,5,517,4-6,3-7,$24
Ongoing Club: Second Grade Math Fun!,"In this ongoing second grade math class, we will meet once a week to learn a new math concept, practice, and play a math game together. #academic",https://outschool.com/classes/ongoing-club-second-grade-math-fun-qyLASeqn,5,25,136,Effective Effort with Elizabeth Sheridan,https://outschool.com/teachers/Elizabeth-Sheridan,5,504,6-9,3-6,$12
Mastering Math With Minecraft - The Complete Curriculum of Grade 3 / 4 Math,"Make the abstract concepts of Math concrete by building it in Minecraft! Students will build arrays, reinforce math skills, learn new concepts while having fun! ADHD, Dysgraphia and Dyslexia friendly class.",https://outschool.com/classes/mastering-math-with-minecraft-the-complete-curriculum-of-grade-3-4-math-BJQoKVb8,4.5,37,511,Sherri Colwell,https://outschool.com/teachers/Sherri-Colwell,4.8,547,7-11,2-10,$15
Math Talks: Let's Think and Talk About Math! Ages 7-9,"In this ongoing course, students will develop their number sense, algebraic thinking, addition and subtraction operation ability, and mathematical thinking skills through fun activities.",https://outschool.com/classes/math-talks-lets-think-and-talk-about-math-ages-7-9-Tkmuhx38,4.5,6,78,"Amanda Draizen, M.ED, MLS",https://outschool.com/teachers/Amanda-Draizen,4.8,283,7-9,2-6,$9
Algebra 1 Full Course: Ongoing (3 Days per Week),"In this Full Algebra 1 Course, we'll learn all standards necessary for Algebra 1, discover real world applications, and have fun while doing it all!",https://outschool.com/classes/algebra-1-full-course-ongoing-3-days-per-week-wo37sWvh,4.9,33,325,"Cameron Weaver, B.S. Math",https://outschool.com/teachers/Cameron-Weaver,4.9,146,11-16,3-18,$35
