Title,Sub_Title,Rating,Review,Demand,Classes_taken,By_request,URL
Multiplication Boot Camp with Ms. Tracy,High-Energy Math Teacher,4.9,(990),Popular,Classes (7),By Request (2),https://outschool.com/teachers/MsTracy
Paul Yiu,"Math, Coding and Abacus math teacher for Primary school students",4.8,(318),Popular,Classes (6),By Request (0),https://outschool.com/teachers/Paul-Yiu
"Tara Gaines, M.Ed","Certified K-8 teacher, an international educator, nature lover, traveler, avid reader, and endless learner",4.9,(185),Popular,Classes (6),By Request (21),https://outschool.com/teachers/Tara-Weyen-Gaines
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Kind Academy-Online MicroSchool for Future Leaders,Project-Based Learning | Full Curriculum Pods | Small Group | Tutoring | Global Geography| Life Skills | Engaging Social Studies | Modern Financial Literacy | Hands On Science,4.9,(651),Popular,Classes (9),By Request (19),https://outschool.com/teachers/kindacademy
Mind over Math - Tutoring and Group Classes,The tools to help your learner succeed!,4.9,(286),Popular,Classes (18),By Request (44),https://outschool.com/teachers/Mind-Over-Math
Math Planets,A personalized 1-on-1 math program for kids who want to improve their math confidence the fun way.,4.8,(128),Popular,Classes (7),By Request (49),https://outschool.com/teachers/MathPlanets
"Alissa Oakes (Certified: SNEA, BEd, MEd 2022)",Early Elementary School Teacher Specializing in Grades K - 3,5.0,(517),Star Educator,Classes (9),By Request (18),https://outschool.com/teachers/Alissa-Ninomiya
Effective Effort with Elizabeth Sheridan,Experienced Elementary Special Education Teacher,5.0,(504),Popular,Classes (11),By Request (13),https://outschool.com/teachers/Elizabeth-Sheridan
Sherri Colwell,"Minecraft teacher, Coding, Escape Rooms, Architecture",4.8,(547),Popular,Classes (7),By Request (7),https://outschool.com/teachers/Sherri-Colwell
